"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\README.md", "Markdown", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 9, 73
"e:\Projects\cinemax\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Projects\cinemax\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 3, 14, 81
"e:\Projects\cinemax\android\app\google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"e:\Projects\cinemax\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\Projects\cinemax\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 11, 1, 47
"e:\Projects\cinemax\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\Projects\cinemax\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\Projects\cinemax\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\Projects\cinemax\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\Projects\cinemax\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\Projects\cinemax\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"e:\Projects\cinemax\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\Projects\cinemax\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\Projects\cinemax\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"e:\Projects\cinemax\assets\Animation - 1710000521327.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\Animation - 1713544475861.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\Apple.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\Projects\cinemax\assets\images\Facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\Projects\cinemax\assets\images\Google.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"e:\Projects\cinemax\assets\images\app_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\Projects\cinemax\assets\images\box_image.svg", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
